# int kno phy sta agi cha vit weapon armor extraAttackEachLevel maxBaseNumberOfAttacks startGoldMin startGoldMax
1 0 0 0 0 0 0 0 0 12 3 4 95 130
2 3 4 -4 -4 -3 4 -11 0 12 4 3 95 130
3 3 3 -4 -1 -3 2 -5 0 12 4 3 95 130
4 0 2 -1 -2 1 0 -5 0 12 3 4 95 130
5 0 0 -1 0 0 1 0 0 12 4 4 95 130
6 3 4 -4 -4 -3 4 -11 0 12 4 3 95 130
7 0 2 -2 -2 0 2 0 0 12 3 4 95 130
8 3 4 -4 -4 -3 4 -11 0 12 4 3 95 130
9 0 0 5 5 3 0 0 0 12 3 4 95 130
10 5 5 0 0 3 0 -11 0 12 4 3 95 130
11 3 3 2 2 3 0 -5 0 12 4 3 95 130
12 1 1 3 3 5 0 -5 0 12 3 4 95 130
13 1 1 4 4 3 0 0 0 12 4 4 95 130
14 4 4 1 1 3 0 -11 0 12 4 3 95 130
15 2 2 3 3 3 0 0 0 12 3 4 95 130
16 5 5 0 0 3 0 -11 0 12 4 3 95 130
